"Gene ID","source_id","Product Description","Gene Type","Input ID","Gene Name or Symbol","Computed GO Component IDs","Computed GO Components","Computed GO Function IDs","Computed GO Functions","Computed GO Process IDs","Computed GO Processes","Curated GO Component IDs","Curated GO Components","Curated GO Function IDs","Curated GO Functions","Curated GO Process IDs","Curated GO Processes"
"TGME49_203790","TGME49_203790-t26_1","hypothetical protein","protein coding gene","TGME49_003790","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_204080","TGME49_204080-t26_1","histidine acid phosphatase superfamily protein","protein coding gene","TGME49_004080","N/A","N/A","N/A","GO:0003993","acid phosphatase activity","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_204100","TGME49_204100-t26_1","eIF2 kinase IF2K-C","protein coding gene","TGME49_004100","N/A","N/A","N/A","GO:0005524;GO:0004672","ATP binding;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_204280","TGME49_204280-t26_1","cell-cycle-associated protein kinase DYRK, putative","protein coding gene","TGME49_004280","N/A","N/A","N/A","GO:0005524;GO:0004707;GO:0004672;GO:0004712","ATP binding;MAP kinase activity;protein kinase activity;protein serine/threonine/tyrosine kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_204340","TGME49_204340-t26_1","hypothetical protein","protein coding gene","TGME49_004340","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_204400","TGME49_204400-t26_1","ATPase synthase subunit alpha, putative","protein coding gene","TGME49_004400","N/A","GO:0045261;GO:0016469;GO:0033178","proton-transporting ATP synthase complex, catalytic core F(1);proton-transporting two-sector ATPase complex;proton-transporting two-sector ATPase complex, catalytic domain","GO:0005524;GO:0042626;GO:0032559;GO:0016787;GO:0046933;GO:0046961","ATP binding;ATPase-coupled transmembrane transporter activity;adenyl ribonucleotide binding;hydrolase activity;proton-transporting ATP synthase activity, rotational mechanism;proton-transporting ATPase activity, rotational mechanism","GO:0046034;GO:0015986;GO:1902600","ATP metabolic process;ATP synthesis coupled proton transport;proton transmembrane transport","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_204410","TGME49_204410-t26_1","endonuclease/exonuclease/phosphatase family protein","protein coding gene","TGME49_004410","N/A","N/A","N/A","GO:0004519;GO:0004535","endonuclease activity;poly(A)-specific ribonuclease activity","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_204880","TGME49_204880-t26_1","hypothetical protein","protein coding gene","TGME49_004880","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_205240","TGME49_205240-t26_1","cleft lip and palate transmembrane protein 1 (clptm1) protein","protein coding gene","TGME49_005240","N/A","GO:0016021;GO:0016020","integral component of membrane;membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_205290","TGME49_205290-t26_1","serine/threonine specific protein phosphatase","protein coding gene","TGME49_005290","N/A","N/A","N/A","GO:0030246;GO:0016791;GO:0004721;GO:0004725;GO:0008138","carbohydrate binding;phosphatase activity;phosphoprotein phosphatase activity;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity","GO:0016311;GO:0006470","dephosphorylation;protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_205360","TGME49_205360-t26_1","hypothetical protein","protein coding gene","TGME49_005360","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_205440","TGME49_205440-t26_1","CCT chaperonin gamma subunit","protein coding gene","TGME49_005440","N/A","GO:0005737","cytoplasm","GO:0000285;GO:0005524;GO:0016740;GO:0051082","1-phosphatidylinositol-3-phosphate 5-kinase activity;ATP binding;transferase activity;unfolded protein binding","GO:0044267;GO:0006457","cellular protein metabolic process;protein folding","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_205550","TGME49_205550-t26_1","AGC kinase","protein coding gene","TGME49_005550","N/A","N/A","N/A","GO:0004679;GO:0005524;GO:0004691;GO:0004672","AMP-activated protein kinase activity;ATP binding;cAMP-dependent protein kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_205615","TGME49_205615-t26_1","hypothetical protein","protein coding gene","TGME49_005620","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_205625","TGME49_205625-t26_1","hypothetical protein","protein coding gene","TGME49_005620","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_205680","TGME49_205680-t26_1","hypothetical protein","protein coding gene","TGME49_005680","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_205700","TGME49_205700-t26_1","cyclophilin precursor","protein coding gene","TGME49_005700","N/A","GO:0016021","integral component of membrane","GO:0003755","peptidyl-prolyl cis-trans isomerase activity","GO:0006457;GO:0000413","protein folding;protein peptidyl-prolyl isomerization","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_206290","TGME49_206290-t26_1","hypothetical protein","protein coding gene","TGME49_006290","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_206350","TGME49_206350-t26_1","ER-retrevial receptor Ter1p, putative","protein coding gene","TGME49_006350","N/A","GO:0005783;GO:0016021","endoplasmic reticulum;integral component of membrane","GO:0046923","ER retention sequence binding","GO:0006621","protein retention in ER lumen","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_206390","TGME49_206390-t26_1","hypothetical protein","protein coding gene","TGME49_006390","N/A","GO:0030896","checkpoint clamp complex","N/A","N/A","GO:0000077","DNA damage checkpoint signaling","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_206590","TGME49_206590-t26_1","calcium-dependent protein kinase CDPK2A","protein coding gene","TGME49_006590","CDPK2A","N/A","N/A","GO:0005524;GO:0005509;GO:0004683;GO:0004672","ATP binding;calcium ion binding;calmodulin-dependent protein kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_207590","TGME49_207590-t26_1","protein phosphatase 2C domain-containing protein","protein coding gene","TGME49_007590","N/A","N/A","N/A","GO:0003824;GO:0046872;GO:0004721","catalytic activity;metal ion binding;phosphoprotein phosphatase activity","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_207700","TGME49_207700-t26_1","rhoptry kinase family protein ROP22 (incomplete catalytic triad)","protein coding gene","TGME49_007700","ROP22","N/A","N/A","GO:0005524;GO:0004672","ATP binding;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_207820","TGME49_207820-t26_1","cell-cycle-associated protein kinase MAPK, putative","protein coding gene","TGME49_007820","N/A","N/A","N/A","GO:0005524;GO:0004707;GO:0004672","ATP binding;MAP kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_207880","TGME49_207880-t26_1","hypothetical protein","protein coding gene","TGME49_007880","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_207910","TGME49_207910-t26_1","manganese resistance 1 protein, putative","protein coding gene","TGME49_007910","N/A","GO:0016021","integral component of membrane","GO:0015369;GO:0008324","calcium:proton antiporter activity;cation transmembrane transporter activity","GO:0006816;GO:0006812;GO:0055085","calcium ion transport;cation transport;transmembrane transport","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_207960","TGME49_207960-t26_1","hypothetical protein","protein coding gene","TGME49_007960","N/A","GO:0035658","Mon1-Ccz1 complex","N/A","N/A","GO:0016192","vesicle-mediated transport","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_208360","TGME49_208360-t26_1","hypothetical protein","protein coding gene","TGME49_008360","N/A","GO:0016021","integral component of membrane","N/A","N/A","GO:0019915","lipid storage","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_208380","TGME49_208380-t26_1","hypothetical protein","protein coding gene","TGME49_008380","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_208500","TGME49_208500-t26_1","protein phosphatase 2C domain-containing protein","protein coding gene","TGME49_008500","N/A","N/A","N/A","GO:0003824;GO:0004721;GO:0004722","catalytic activity;phosphoprotein phosphatase activity;protein serine/threonine phosphatase activity","GO:0006470","protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_208580","TGME49_208580-t26_1","DNA ligase 1, putative","protein coding gene","TGME49_008580","N/A","GO:0016021","integral component of membrane","GO:0005524;GO:0003677;GO:0003910;GO:0003909","ATP binding;DNA binding;DNA ligase (ATP) activity;DNA ligase activity","GO:0071897;GO:0051103;GO:0006310;GO:0006281;GO:0006260","DNA biosynthetic process;DNA ligation involved in DNA repair;DNA recombination;DNA repair;DNA replication","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_208718","TGME49_208718-t26_1","protein tyrosine phosphatase type IVA A, putative","protein coding gene","TGME49_008720","N/A","N/A","N/A","GO:0016791;GO:0004721;GO:0004725;GO:0008138","phosphatase activity;phosphoprotein phosphatase activity;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity","GO:0016311;GO:0006470","dephosphorylation;protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_208722","TGME49_208722-t26_1","hypothetical protein","protein coding gene","TGME49_008720","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_209000","TGME49_209000-t26_1","HECT-domain (ubiquitin-transferase) domain-containing protein","protein coding gene","TGME49_009000","N/A","GO:0005622","intracellular anatomical structure","GO:0016881;GO:0005515;GO:0004842","acid-amino acid ligase activity;protein binding;ubiquitin-protein transferase activity","GO:0006464","cellular protein modification process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_209170","TGME49_209170-t26_1","hypothetical protein","protein coding gene","TGME49_009170","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_209470","TGME49_209470-t26_1","hypothetical protein","protein coding gene","TGME49_009470","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_209490","TGME49_209490-t26_1","hypothetical protein","protein coding gene","TGME49_009490","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_209620","TGME49_209620-t26_1","eukaryotic aspartyl protease superfamily protein","protein coding gene","TGME49_009620","N/A","N/A","N/A","GO:0004190","aspartic-type endopeptidase activity","GO:0006508","proteolysis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_209720","TGME49_209720-t26_1","hypothetical protein","protein coding gene","TGME49_009720","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_209810","TGME49_209810-t26_1","hypothetical protein","protein coding gene","TGME49_009810","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_209985","TGME49_209985-t26_1","cAMP-dependent protein kinase","protein coding gene","TGME49_010110, TGME49_009980","N/A","N/A","N/A","GO:0004679;GO:0005524;GO:0004691;GO:0004672","AMP-activated protein kinase activity;ATP binding;cAMP-dependent protein kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_210095","TGME49_210095-t26_1","hypothetical protein","protein coding gene","TGME49_010110","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_210370","TGME49_210370-t26_1","hypothetical protein","protein coding gene","TGME49_010370","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_210730","TGME49_210730-t26_1","ATP-dependent hsl protease ATP-binding subunit hslU, putative","protein coding gene","TGME49_010730","N/A","GO:0009376","HslUV protease complex","GO:0005524;GO:0016887;GO:0070011","ATP binding;ATP hydrolysis activity;peptidase activity, acting on L-amino acid peptides","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_211260","TGME49_211260-t26_1","rhoptry kinase family protein ROP26 (incomplete catalytic triad)","protein coding gene","TGME49_011260","ROP26","N/A","N/A","GO:0005524;GO:0004672","ATP binding;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_211450","TGME49_211450-t26_1","hypothetical protein","protein coding gene","TGME49_011450","N/A","GO:0016021","integral component of membrane","GO:0003723;GO:0009982","RNA binding;pseudouridine synthase activity","GO:0009451;GO:0001522","RNA modification;pseudouridine synthesis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_211610","TGME49_211610-t26_1","hypothetical protein","protein coding gene","TGME49_011610","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_211860","TGME49_211860-t26_1","hypothetical protein","protein coding gene","TGME49_011860","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_212300","TGME49_212300-t26_1","hypothetical protein","protein coding gene","TGME49_012300","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_212410","TGME49_212410-t26_1","dense granule protein GRA11","protein coding gene","TGME49_012410","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_212740","TGME49_212740-t26_1","aromatic amino acid hydrolase AAH2","protein coding gene","TGME49_012740","AAH2","N/A","N/A","GO:0016787;GO:0005506;GO:0004497;GO:0016714;GO:0004511","hydrolase activity;iron ion binding;monooxygenase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen;tyrosine 3-monooxygenase activity","GO:0009072;GO:0055114","aromatic amino acid family metabolic process;obsolete oxidation-reduction process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_213010","TGME49_213010-t26_1","hypothetical protein","protein coding gene","TGME49_013010","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_213040","TGME49_213040-t26_1","hypothetical protein","protein coding gene","TGME49_013040","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_213067","TGME49_213067-t26_1","hypothetical protein","protein coding gene","TGME49_013070","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_213069","TGME49_213069-t26_1","hypothetical protein","protein coding gene","TGME49_013070","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_213072","TGME49_213072-t26_1","Sec1 family protein","protein coding gene","TGME49_013070","N/A","N/A","N/A","N/A","N/A","GO:0006904;GO:0016192","vesicle docking involved in exocytosis;vesicle-mediated transport","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_213570","TGME49_213570-t26_1","hypothetical protein","protein coding gene","TGME49_013570","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_214290","TGME49_214290-t26_1","DJ-1 family protein","protein coding gene","TGME49_014290","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_214330","TGME49_214330-t26_1","DnaJ domain-containing protein","protein coding gene","TGME49_014330","N/A","GO:0016021","integral component of membrane","GO:0031072","heat shock protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_214500","TGME49_214500-t26_1","ankyrin repeat-containing protein","protein coding gene","TGME49_014500","N/A","N/A","N/A","GO:0005515","protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_214600","TGME49_214600-t26_1","hypothetical protein","protein coding gene","TGME49_014600","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_214750","TGME49_214750-t26_1","hypothetical protein","protein coding gene","TGME49_014750","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_214760","TGME49_214760-t26_1","erythronate-4-phosphate dehydrogenase domain-containing protein","protein coding gene","TGME49_014760","N/A","N/A","N/A","GO:0051287;GO:0030267;GO:0048037;GO:0016616","NAD binding;glyoxylate reductase (NADP+) activity;obsolete cofactor binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","GO:0055114","obsolete oxidation-reduction process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_214910","TGME49_214910-t26_1","hypothetical protein","protein coding gene","TGME49_014910","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_215080","TGME49_215080-t26_1","hypothetical protein","protein coding gene","TGME49_015080","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_215170","TGME49_215170-t26_1","serine/threonine-protein phosphatase 2A catalytic subunit beta isoform, putative","protein coding gene","TGME49_015170","N/A","N/A","N/A","GO:0016787;GO:0004721","hydrolase activity;phosphoprotein phosphatase activity","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_215220","TGME49_215220-t26_1","hypothetical protein","protein coding gene","TGME49_015220","N/A","N/A","N/A","GO:0005515","protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_215340","TGME49_215340-t26_1","AP2 domain transcription factor AP2X-10","protein coding gene","TGME49_015340","AP2X10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_215520","TGME49_215520-t26_1","hypothetical protein","protein coding gene","TGME49_015520","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_215550","TGME49_215550-t26_1","hypothetical protein","protein coding gene","TGME49_015550","N/A","N/A","N/A","GO:0045145","single-stranded DNA 5'-3' exodeoxyribonuclease activity","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_215590","TGME49_215590-t26_1","flavoprotein subunit of succinate dehydrogenase","protein coding gene","TGME49_015590","N/A","GO:0005743","mitochondrial inner membrane","GO:0009055;GO:0050660;GO:0016491;GO:0016627;GO:0008177","electron transfer activity;flavin adenine dinucleotide binding;oxidoreductase activity;oxidoreductase activity, acting on the CH-CH group of donors;succinate dehydrogenase (ubiquinone) activity","GO:0022900;GO:0055114;GO:0006099","electron transport chain;obsolete oxidation-reduction process;tricarboxylic acid cycle","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_215670","TGME49_215670-t26_1","cAMP-dependent protein kinase","protein coding gene","TGME49_015670","N/A","N/A","N/A","GO:0004679;GO:0005524;GO:0004691;GO:0004672","AMP-activated protein kinase activity;ATP binding;cAMP-dependent protein kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_215710","TGME49_215710-t26_1","hypothetical protein","protein coding gene","TGME49_015710","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_215775","TGME49_215775-t26_1","rhoptry protein ROP8","protein coding gene","TGME49_015770, TGME49_015780","ROP8","N/A","N/A","GO:0005524;GO:0004672","ATP binding;protein kinase activity","GO:0006468","protein phosphorylation","GO:0045177","apical part of cell","N/A","N/A","N/A","N/A"
"TGME49_215910","TGME49_215910-t26_1","hypothetical protein","protein coding gene","TGME49_015910","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_216460","TGME49_216460-t26_1","hypothetical protein","protein coding gene","TGME49_016460","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_216780","TGME49_216780-t26_1","hypothetical protein","protein coding gene","TGME49_016780","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_217400","TGME49_217400-t26_1","hypothetical protein","protein coding gene","TGME49_017400","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_217460","TGME49_217460-t26_1","glutaminyl-tRNA synthetase (GlnRS)","protein coding gene","TGME49_017460","N/A","GO:0005737","cytoplasm","GO:0005524;GO:0004812;GO:0004819;GO:0000166","ATP binding;aminoacyl-tRNA ligase activity;glutamine-tRNA ligase activity;nucleotide binding","GO:0006425;GO:0043039;GO:0006418;GO:0006412","glutaminyl-tRNA aminoacylation;tRNA aminoacylation;tRNA aminoacylation for protein translation;translation","GO:0005737","cytoplasm","N/A","N/A","N/A","N/A"
"TGME49_217530","TGME49_217530-t26_1","hypothetical protein","protein coding gene","TGME49_017530","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
