"Gene ID","source_id","Product Description","Gene Type","Input ID","Gene Name or Symbol","Computed GO Component IDs","Computed GO Components","Computed GO Function IDs","Computed GO Functions","Computed GO Process IDs","Computed GO Processes","Curated GO Component IDs","Curated GO Components","Curated GO Function IDs","Curated GO Functions","Curated GO Process IDs","Curated GO Processes"
"TGME49_200320","TGME49_200320-t26_1","hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT","protein coding gene","TGME49_200320","HXGPRT","GO:0005737","cytoplasm","GO:0052657;GO:0004422;GO:0046872;GO:0000166","guanine phosphoribosyltransferase activity;hypoxanthine phosphoribosyltransferase activity;metal ion binding;nucleotide binding","GO:0032264;GO:0009116;GO:0006166","IMP salvage;nucleoside metabolic process;purine ribonucleoside salvage","GO:0005737;GO:0070258","cytoplasm;inner membrane pellicle complex","N/A","N/A","N/A","N/A"
"TGME49_200330","TGME49_200330-t26_1","hypothetical protein","protein coding gene","TGME49_200330","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200340","TGME49_200340-t26_1","hypothetical protein","protein coding gene","TGME49_200340","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200350","TGME49_200350-t26_1","subtilisin SUB3","protein coding gene","TGME49_200350","SUB3","N/A","N/A","GO:0004252","serine-type endopeptidase activity","GO:0006508","proteolysis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200360","TGME49_200360-t26_1","hypothetical protein","protein coding gene","TGME49_200360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200370","TGME49_200370-t26_1","prenyltransferase and squalene oxidase repeat-containing protein","protein coding gene","TGME49_200370","N/A","GO:0005965","protein farnesyltransferase complex","GO:0003824;GO:0004660;GO:0008270","catalytic activity;protein farnesyltransferase activity;zinc ion binding","GO:0018343","protein farnesylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200375","TGME49_200375-t26_1","hypothetical protein","protein coding gene","TGME49_200375","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200385","TGME49_200385-t26_1","Myb family DNA-binding domain-containing protein","protein coding gene","TGME49_200385","N/A","N/A","N/A","GO:0003677","DNA binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200400","TGME49_200400-t26_1","hypothetical protein","protein coding gene","TGME49_200400","N/A","N/A","N/A","GO:0005509","calcium ion binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200410","TGME49_200410-t26_1","hypothetical protein","protein coding gene","TGME49_200410","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200430","TGME49_200430-t26_1","cytidine and deoxycytidylate deaminase zinc-binding region domain-containing protein","protein coding gene","TGME49_200430","N/A","N/A","N/A","GO:0003824;GO:0004132;GO:0016787;GO:0008270","catalytic activity;dCMP deaminase activity;hydrolase activity;zinc ion binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200440","TGME49_200440-t26_1","hypothetical protein","protein coding gene","TGME49_200440","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200450","TGME49_200450-t26_1","hypothetical protein","protein coding gene","TGME49_200450","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200460","TGME49_200460-t26_1","hypothetical protein","protein coding gene","TGME49_200460","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200470","TGME49_200470-t26_1","hypothetical protein","protein coding gene","TGME49_200470","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200590","TGME49_200590-t26_1","Toxoplasma gondii family C protein","protein coding gene","TGME49_200590","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200595","TGME49_200595-t26_1","hypothetical protein","protein coding gene","TGME49_200595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200600","TGME49_200600-t26_1","hypothetical protein","protein coding gene","TGME49_200600","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_200700","TGME49_200700-t26_1","Toxoplasma gondii family C protein","protein coding gene","TGME49_200700","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201100","TGME49_201100-t26_1","hypothetical protein","protein coding gene","TGME49_201100","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201110","TGME49_201110-t26_1","hypothetical protein","protein coding gene","TGME49_201110","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201120","TGME49_201120-t26_1","ELMO/CED-12 family protein","protein coding gene","TGME49_201120","N/A","GO:0005856","cytoskeleton","N/A","N/A","GO:0006909","phagocytosis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201130","TGME49_201130-t26_1","rhoptry kinase family protein ROP33","protein coding gene","TGME49_201130","ROP33","N/A","N/A","GO:0005524;GO:0004672","ATP binding;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201140","TGME49_201140-t26_1","hypothetical protein","protein coding gene","TGME49_201140","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201150","TGME49_201150-t26_1","heavy metal translocating P-type ATPase subfamily protein","protein coding gene","TGME49_201150","N/A","GO:0016021","integral component of membrane","GO:0005388;GO:0043682;GO:0003824;GO:0016787;GO:0046872;GO:0000166","P-type calcium transporter activity;P-type divalent copper transporter activity;catalytic activity;hydrolase activity;metal ion binding;nucleotide binding","GO:0008152;GO:0030001","metabolic process;metal ion transport","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201160","TGME49_201160-t26_1","hypothetical protein","protein coding gene","TGME49_201160","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201170","TGME49_201170-t26_1","hypothetical protein","protein coding gene","TGME49_201170","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201180","TGME49_201180-t26_1","hypothetical protein","protein coding gene","TGME49_201180","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201190","TGME49_201190-t26_1","hypothetical protein","protein coding gene","TGME49_201190","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201200","TGME49_201200-t26_1","zinc finger (CCCH type) motif-containing protein","protein coding gene","TGME49_201200","N/A","N/A","N/A","GO:0003723;GO:0046872","RNA binding;metal ion binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201210","TGME49_201210-t26_1","hypothetical protein","protein coding gene","TGME49_201210","N/A","N/A","N/A","N/A","N/A","GO:0043461","proton-transporting ATP synthase complex assembly","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201215","TGME49_201215-t26_1","hypothetical protein","protein coding gene","TGME49_201215","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201220","TGME49_201220-t26_1","zinc finger protein","protein coding gene","TGME49_201220","N/A","N/A","N/A","GO:0008270","zinc ion binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201230","TGME49_201230-t26_1","kinesin motor domain-containing protein","protein coding gene","TGME49_201230","N/A","N/A","N/A","GO:0005524;GO:0008017;GO:0003777","ATP binding;microtubule binding;microtubule motor activity","GO:0007018","microtubule-based movement","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201240","TGME49_201240-t26_1","hypothetical protein","protein coding gene","TGME49_201240","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201250","TGME49_201250-t26_1","histone lysine methyltransferase, SET, putative","protein coding gene","TGME49_201250","N/A","N/A","N/A","GO:0046872;GO:0008168","metal ion binding;methyltransferase activity","GO:0032259","methylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201260","TGME49_201260-t26_1","sugar transporter ST3","protein coding gene","TGME49_201260","ST3","GO:0016021","integral component of membrane","GO:0022857","transmembrane transporter activity","GO:0008643;GO:0055085","carbohydrate transport;transmembrane transport","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201270","TGME49_201270-t26_1","hypothetical protein","protein coding gene","TGME49_201270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201380","TGME49_201380-t26_1","chorismate synthase, putative","protein coding gene","TGME49_201380","N/A","N/A","N/A","GO:0004107","chorismate synthase activity","GO:0009073","aromatic amino acid family biosynthetic process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201390","TGME49_201390-t26_1","hypothetical protein","protein coding gene","TGME49_201390","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201400","TGME49_201400-t26_1","Sin3-associated polypeptide SAP18","protein coding gene","TGME49_201400","SAP18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201520","TGME49_201520-t26_1","protein phosphatase 2C domain-containing protein","protein coding gene","TGME49_201520","N/A","N/A","N/A","GO:0003824;GO:0004721;GO:0004722","catalytic activity;phosphoprotein phosphatase activity;protein serine/threonine phosphatase activity","GO:0006470","protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201630","TGME49_201630-t26_1","protein phosphatase 2C domain-containing protein","protein coding gene","TGME49_201630","N/A","N/A","N/A","GO:0003824;GO:0004721;GO:0004722","catalytic activity;phosphoprotein phosphatase activity;protein serine/threonine phosphatase activity","GO:0006470","protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201640","TGME49_201640-t26_1","hypothetical protein","protein coding gene","TGME49_201640","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201650","TGME49_201650-t26_1","hypothetical protein","protein coding gene","TGME49_201650","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201660","TGME49_201660-t26_1","hypothetical protein","protein coding gene","TGME49_201660","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201670","TGME49_201670-t26_1","DnaJ domain-containing protein","protein coding gene","TGME49_201670","N/A","GO:0016021","integral component of membrane","GO:0031072","heat shock protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201680","TGME49_201680-t26_1","eukaryotic initiation factor-3 subunit 10, putative","protein coding gene","TGME49_201680","N/A","GO:0005852","eukaryotic translation initiation factor 3 complex","GO:0003743","translation initiation factor activity","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201690","TGME49_201690-t26_1","BT1 family protein","protein coding gene","TGME49_201690","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201700","TGME49_201700-t26_1","WD domain, G-beta repeat-containing protein","protein coding gene","TGME49_201700","N/A","GO:0030127;GO:0000139","COPII vesicle coat;Golgi membrane","GO:0004402;GO:0005515;GO:0005198","histone acetyltransferase activity;protein binding;structural molecule activity","GO:0090114;GO:1904263;GO:0015031;GO:0016192","COPII-coated vesicle budding;positive regulation of TORC1 signaling;protein transport;vesicle-mediated transport","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201710","TGME49_201710-t26_1","WD domain, G-beta repeat-containing protein","protein coding gene","TGME49_201710","N/A","N/A","N/A","GO:0034511;GO:0004402;GO:0005515","U3 snoRNA binding;histone acetyltransferase activity;protein binding","GO:0006364","rRNA processing","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201720","TGME49_201720-t26_1","protein c9orf32, putative","protein coding gene","TGME49_201720","N/A","N/A","N/A","GO:0008168","methyltransferase activity","GO:0006480","N-terminal protein amino acid methylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201730","TGME49_201730-t26_1","hypothetical protein","protein coding gene","TGME49_201730","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201740","TGME49_201740-t26_1","hypothetical protein","protein coding gene","TGME49_201740","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201760","TGME49_201760-t26_1","hypothetical protein","protein coding gene","TGME49_201760","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201770","TGME49_201770-t26_1","cullin 3, putative","protein coding gene","TGME49_201770","N/A","GO:0031461","cullin-RING ubiquitin ligase complex","GO:0031625","ubiquitin protein ligase binding","GO:0006511","ubiquitin-dependent protein catabolic process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201780","TGME49_201780-t26_1","microneme protein MIC2","protein coding gene","TGME49_201780","MIC2","N/A","N/A","GO:0005515","protein binding","N/A","N/A","GO:0045177;GO:0005886","apical part of cell;plasma membrane","N/A","N/A","N/A","N/A"
"TGME49_201785","TGME49_201785-t26_1","hypothetical protein","protein coding gene","TGME49_201785","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201790","TGME49_201790-t26_1","FHA domain-containing protein","protein coding gene","TGME49_201790","N/A","N/A","N/A","GO:0005515","protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201800","TGME49_201800-t26_1","hypothetical protein","protein coding gene","TGME49_201800","N/A","GO:0005623","obsolete cell","N/A","N/A","GO:0045454","cell redox homeostasis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201810","TGME49_201810-t26_1","hypothetical protein","protein coding gene","TGME49_201810","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201820","TGME49_201820-t26_1","hypothetical protein","protein coding gene","TGME49_201820","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201830","TGME49_201830-t26_1","ribosomal protein L37","protein coding gene","TGME49_201830","N/A","GO:0005840","ribosome","N/A","N/A","N/A","N/A","GO:0005761","mitochondrial ribosome","N/A","N/A","N/A","N/A"
"TGME49_201840","TGME49_201840-t26_1","aspartyl protease ASP1","protein coding gene","TGME49_201840","ASP1","GO:0016021","integral component of membrane","GO:0004190","aspartic-type endopeptidase activity","GO:0006508","proteolysis","GO:0045177;GO:0070258","apical part of cell;inner membrane pellicle complex","N/A","N/A","N/A","N/A"
"TGME49_201850","TGME49_201850-t26_1","WD domain, G-beta repeat-containing protein","protein coding gene","TGME49_201850","N/A","N/A","N/A","GO:0004402;GO:0005515","histone acetyltransferase activity;protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201860","TGME49_201860-t26_1","hypothetical protein","protein coding gene","TGME49_201860","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201870","TGME49_201870-t26_1","tetratricopeptide repeat-containing protein","protein coding gene","TGME49_201870","N/A","N/A","N/A","GO:0005515","protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201880","TGME49_201880-t26_1","hypothetical protein","protein coding gene","TGME49_201880","N/A","GO:0005743;GO:0005750","mitochondrial inner membrane;mitochondrial respiratory chain complex III","N/A","N/A","GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201890","TGME49_201890-t26_1","MORN repeat-containing protein","protein coding gene","TGME49_201890","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201895","TGME49_201895-t26_1","hypothetical protein","protein coding gene","TGME49_201895","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_201900","TGME49_201900-t26_1","hypothetical protein","protein coding gene","TGME49_201900","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202010","TGME49_202010-t26_1","hypothetical protein","protein coding gene","TGME49_202010","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202020","TGME49_202020-t26_1","DnAK-TPR","protein coding gene","TGME49_202020","N/A","N/A","N/A","GO:0005515","protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202025","TGME49_202025-t26_1","hypothetical protein","protein coding gene","TGME49_202025","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202030","TGME49_202030-t26_1","hypothetical protein","protein coding gene","TGME49_202030","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202040","TGME49_202040-t26_1","hypothetical protein","protein coding gene","TGME49_202040","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202070","TGME49_202070-t26_1","hypothetical protein","protein coding gene","TGME49_202070","N/A","N/A","N/A","GO:0004601","peroxidase activity","GO:0055114","obsolete oxidation-reduction process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202080","TGME49_202080-t26_1","hypothetical protein","protein coding gene","TGME49_202080","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202090","TGME49_202090-t26_1","hypothetical protein","protein coding gene","TGME49_202090","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202100","TGME49_202100-t26_1","hypothetical protein","protein coding gene","TGME49_202100","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202110","TGME49_202110-t26_1","hypothetical protein","protein coding gene","TGME49_202110","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202120","TGME49_202120-t26_1","hypothetical protein","protein coding gene","TGME49_202120","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202140","TGME49_202140-t26_1","enoyl-CoA hydratase/isomerase family protein","protein coding gene","TGME49_202140","N/A","N/A","N/A","GO:0003824;GO:0016853;GO:0004490","catalytic activity;isomerase activity;methylglutaconyl-CoA hydratase activity","GO:0008152","metabolic process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202160","TGME49_202160-t26_1","ABC1 family protein","protein coding gene","TGME49_202160","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202170","TGME49_202170-t26_1","hypothetical protein","protein coding gene","TGME49_202170","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202180","TGME49_202180-t26_1","hypothetical protein","protein coding gene","TGME49_202180","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202190","TGME49_202190-t26_1","hypothetical protein","protein coding gene","TGME49_202190","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202200","TGME49_202200-t26_1","hypothetical protein","protein coding gene","TGME49_202200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202210","TGME49_202210-t26_1","nucleoside diphosphate kinase","protein coding gene","TGME49_202210","N/A","N/A","N/A","GO:0005524;GO:0004550","ATP binding;nucleoside diphosphate kinase activity","GO:0006241;GO:0006183;GO:0006228;GO:0006165","CTP biosynthetic process;GTP biosynthetic process;UTP biosynthetic process;nucleoside diphosphate phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202220","TGME49_202220-t26_1","hypothetical protein","protein coding gene","TGME49_202220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202230","TGME49_202230-t26_1","histone deacetylase HDAC5","protein coding gene","TGME49_202230","HDAC5","N/A","N/A","GO:0032041;GO:0046969;GO:0046970;GO:0031078;GO:0032129;GO:0034739;GO:0005515","NAD-dependent histone deacetylase activity (H3-K14 specific);NAD-dependent histone deacetylase activity (H3-K9 specific);NAD-dependent histone deacetylase activity (H4-K16 specific);histone deacetylase activity (H3-K14 specific);histone deacetylase activity (H3-K9 specific);histone deacetylase activ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202240","TGME49_202240-t26_1","RAP domain-containing protein","protein coding gene","TGME49_202240","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202250","TGME49_202250-t26_1","hypothetical protein","protein coding gene","TGME49_202250","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202255","TGME49_202255-t26_1","hypothetical protein","protein coding gene","TGME49_202255","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202280","TGME49_202280-t26_1","WD domain, G-beta repeat-containing protein","protein coding gene","TGME49_202280","N/A","N/A","N/A","GO:0005515","protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202285","TGME49_202285-t26_1","EGF family domain-containing protein","protein coding gene","TGME49_202285","N/A","GO:0016021","integral component of membrane","GO:0005515","protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202290","TGME49_202290-t26_1","membrane protein, putative","protein coding gene","TGME49_202290","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202300","TGME49_202300-t26_1","inosine triphosphate pyrophosphatase, putative","protein coding gene","TGME49_202300","N/A","GO:0005737","cytoplasm","GO:0035529;GO:0016787;GO:0046872;GO:0047429;GO:0000166","NADH pyrophosphatase activity;hydrolase activity;metal ion binding;nucleoside-triphosphate diphosphatase activity;nucleotide binding","GO:0009204;GO:0009143;GO:0009117","deoxyribonucleoside triphosphate catabolic process;nucleoside triphosphate catabolic process;nucleotide metabolic process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202310","TGME49_202310-t26_1","O-sialoglycoprotein endopeptidase","protein coding gene","TGME49_202310","N/A","GO:0000408;GO:0005737;GO:0005634","EKC/KEOPS complex;cytoplasm;nucleus","GO:0061711;GO:0016787;GO:0046872;GO:0004222","N(6)-L-threonylcarbamoyladenine synthase activity;hydrolase activity;metal ion binding;metalloendopeptidase activity","GO:0006508;GO:0002949","proteolysis;tRNA threonylcarbamoyladenosine modification","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202340","TGME49_202340-t26_1","proline dehydrogenase","protein coding gene","TGME49_202340","N/A","N/A","N/A","GO:0004657","proline dehydrogenase activity","GO:0006537;GO:0055114;GO:0006562","glutamate biosynthetic process;obsolete oxidation-reduction process;proline catabolic process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202350","TGME49_202350-t26_1","50S ribosomal protein L21, putative","protein coding gene","TGME49_202350","N/A","GO:0005622;GO:0005840","intracellular anatomical structure;ribosome","GO:0003723;GO:0003735","RNA binding;structural constituent of ribosome","GO:0006412","translation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_202360","TGME49_202360-t26_1","methylase, putative","protein coding gene","TGME49_202360","N/A","N/A","N/A","GO:0008168","methyltransferase activity","GO:0032259","methylation","N/A","N/A","N/A","N/A","N/A","N/A"
