ensembl_gene_id,Product.Description,Gene.Type,Input.ID,external_gene_name
TGME49-210408,HMG (high mobility group) box domain-containing protein,protein coding gene,TGME49_010410,N/A
TGME49-210412,hypothetical protein,protein coding gene,TGME49_010410,N/A
TGME49-210420,hypothetical protein,protein coding gene,TGME49_010420,N/A
TGME49-210810,hypothetical protein,protein coding gene,TGME49_010810,N/A
TGME49-210820,hypothetical protein,protein coding gene,TGME49_010820,N/A
TGME49-211260,rhoptry kinase family protein ROP26 (incomplete catalytic triad),protein coding gene,TGME49_011260,ROP26
TGME49-211290,rhoptry protein ROP15,protein coding gene,TGME49_011290,ROP15
TGME49-211630,hypothetical protein,protein coding gene,TGME49_011630,N/A
TGME49-211650,hypothetical protein,protein coding gene,TGME49_011650,N/A
TGME49-211850,hypothetical protein,protein coding gene,TGME49_011850,N/A
TGME49-212160,hypothetical protein,protein coding gene,TGME49_012160,N/A
TGME49-212270,hypothetical protein,protein coding gene,TGME49_012270,N/A
TGME49-212770,hypothetical protein,protein coding gene,TGME49_012770,N/A
TGME49-212780,hypothetical protein,protein coding gene,TGME49_012780,N/A
TGME49-212980,hypothetical protein,protein coding gene,TGME49_012980,N/A
TGME49-213030,hypothetical protein,protein coding gene,TGME49_013030,N/A
TGME49-213050,hypothetical protein,protein coding gene,TGME49_013050,N/A
TGME49-213920,hypothetical protein,protein coding gene,TGME49_013920,N/A
TGME49-213950,hypothetical protein,protein coding gene,TGME49_013950,N/A
TGME49-214080,toxofilin,protein coding gene,TGME49_014080,N/A
TGME49-214190,SAG-related sequence SRS46,protein coding gene,TGME49_014190,SRS46
TGME49-214430,hypothetical protein,protein coding gene,TGME49_014430,N/A
TGME49-214880,hypothetical protein,protein coding gene,TGME49_014880,N/A
TGME49-215150,AP2 domain transcription factor AP2X-9,protein coding gene,TGME49_015150,AP2X9
TGME49-215180,hypothetical protein,protein coding gene,TGME49_015180,N/A
TGME49-215530,hypothetical protein,protein coding gene,TGME49_015530,N/A
TGME49-215540,hypothetical protein,protein coding gene,TGME49_015540,N/A
TGME49-215550,hypothetical protein,protein coding gene,TGME49_015550,N/A
TGME49-215775,rhoptry protein ROP8,protein coding gene,TGME49_015780, TGME49_015770,ROP8
TGME49-216000,alveolin domain containing intermediate filament IMC3,protein coding gene,TGME49_016000,ALV3
TGME49-216080,apical complex lysine methyltransferase,protein coding gene,TGME49_016080,N/A
TGME49-216460,hypothetical protein,protein coding gene,TGME49_016460,N/A
TGME49-216620,EF hand domain-containing protein,protein coding gene,TGME49_016620,N/A
TGME49-216640,GHMP kinase, putative,protein coding gene,TGME49_016640,N/A
TGME49-216920,mediator complex subunit MED8,protein coding gene,TGME49_016920,MED8
TGME49-216970,coronin, putative,protein coding gene,TGME49_016970,N/A
TGME49-217360,hypothetical protein,protein coding gene,TGME49_017360,N/A
TGME49-217400,hypothetical protein,protein coding gene,TGME49_017400,N/A
TGME49-217410,hypothetical protein,protein coding gene,TGME49_017410,N/A
TGME49-217430,protease inhibitor PI1,protein coding gene,TGME49_017430,PI1
TGME49-217510,hypothetical protein,protein coding gene,TGME49_017510,N/A
TGME49-217600,calcium-dependent protein kinase CDPK9,protein coding gene,TGME49_017600,CDPK9
TGME49-217900,hypothetical protein,protein coding gene,TGME49_017900,N/A
TGME49-217930,hypothetical protein,protein coding gene,TGME49_017930,N/A
TGME49-218240,hypothetical protein,protein coding gene,TGME49_018240,N/A
TGME49-218270,hypothetical protein,protein coding gene,TGME49_018270,N/A
TGME49-218358,zinc knuckle domain-containing protein,protein coding gene,TGME49_018360,N/A
TGME49-218550,PIK3R4 kinase-related protein,protein coding gene,TGME49_018550,N/A
TGME49-218740,membrane protein, putative,protein coding gene,TGME49_018740,N/A
TGME49-218880,SF-assemblin, putative,protein coding gene,TGME49_018880,N/A
TGME49-218910,hypothetical protein,protein coding gene,TGME49_018910,N/A
TGME49-219070,cyclic nucleotide-binding domain-containing protein,protein coding gene,TGME49_019070,N/A
TGME49-219170,hypothetical protein,protein coding gene,TGME49_019170,N/A
TGME49-219180,acetyltransferase, GNAT family protein,protein coding gene,TGME49_019180,N/A
TGME49-219270,multi-pass transmembrane protein,protein coding gene,TGME49_019270,N/A
TGME49-219320,acid phosphatase GAP50,protein coding gene,TGME49_019320,GAP50
TGME49-219730,hypothetical protein,protein coding gene,TGME49_019730,N/A
TGME49-220270,alveolin domain containing intermediate filament IMC6,protein coding gene,TGME49_020270,IMC6
TGME49-220370,hypothetical protein,protein coding gene,TGME49_020370,N/A
TGME49-220420,3'5'-cyclic nucleotide phosphodiesterase domain-containing protein,protein coding gene,TGME49_020420,N/A
TGME49-220900,hypothetical protein,protein coding gene,TGME49_020900,N/A
TGME49-220950,hypothetical protein,protein coding gene,TGME49_020950,N/A
TGME49-221250,hypothetical protein,protein coding gene,TGME49_021250,N/A
TGME49-221270,oxidoreductase, 2OG-Fe(II) oxygenase family protein,protein coding gene,TGME49_021270,N/A
TGME49-221280,hypothetical protein,protein coding gene,TGME49_021280,N/A
TGME49-221370,hypothetical protein,protein coding gene,TGME49_021370,N/A
TGME49-221390,hypothetical protein,protein coding gene,TGME49_021390,N/A
TGME49-221480,hypothetical protein,protein coding gene,TGME49_021480,N/A
TGME49-221540,hypothetical protein,protein coding gene,TGME49_021540,N/A
TGME49-221620,beta-tubulin, putative,protein coding gene,TGME49_021620,N/A
TGME49-221630,hypothetical protein,protein coding gene,TGME49_021630,N/A
TGME49-221840,hypothetical protein,protein coding gene,TGME49_021840,N/A
TGME49-221990,hypothetical protein,protein coding gene,TGME49_021990,N/A
TGME49-222100,hypothetical protein,protein coding gene,TGME49_022100,N/A
TGME49-222330,hypothetical protein,protein coding gene,TGME49_022330,N/A
TGME49-222350,hypothetical protein,protein coding gene,TGME49_022350,N/A
TGME49-222660,leucine rich repeat-containing protein,protein coding gene,TGME49_022670,N/A
TGME49-223620,golgi SNARE, putative,protein coding gene,TGME49_023620,N/A
TGME49-223750,hypothetical protein,protein coding gene,TGME49_023750,N/A
TGME49-223790,hypothetical protein,protein coding gene,TGME49_023790,N/A
TGME49-223920,rhoptry neck protein RON3,protein coding gene,TGME49_023920,RON3
TGME49-223940,GAP45,protein coding gene,TGME49_023940,N/A
TGME49-224000,hypothetical protein,protein coding gene,TGME49_024000,N/A
TGME49-224130,hypothetical protein,protein coding gene,TGME49_024130,N/A
TGME49-224520,alveolin domain containing intermediate filament IMC8,protein coding gene,TGME49_024520,ALV10
TGME49-224530,alveolin domain containing intermediate filament IMC5,protein coding gene,TGME49_024530,ALV11
TGME49-224630,zinc finger (CCCH type) motif-containing protein,protein coding gene,TGME49_024630,N/A
TGME49-224700,hypothetical protein,protein coding gene,TGME49_024700,N/A
TGME49-224760,SAG-related sequence SRS40E,protein coding gene,TGME49_024760,SRS4
TGME49-224840,3'5'-cyclic nucleotide phosphodiesterase domain-containing protein,protein coding gene,TGME49_024840,N/A
TGME49-224880,kinesin motor domain-containing protein,protein coding gene,TGME49_024880,N/A
TGME49-224890,hypothetical protein,protein coding gene,TGME49_024890,N/A
TGME49-225020,hypothetical protein,protein coding gene,TGME49_025020,N/A
TGME49-225060,nucleoredoxin family protein,protein coding gene,TGME49_025060,N/A
TGME49-225150,hypothetical protein,protein coding gene,TGME49_025150,N/A
TGME49-225200,hypothetical protein,protein coding gene,TGME49_025200,N/A
TGME49-225300,hypothetical protein,protein coding gene,TGME49_025300,N/A
TGME49-225320,hypothetical protein,protein coding gene,TGME49_025320,N/A
TGME49-225330,hypothetical protein,protein coding gene,TGME49_025330,N/A
TGME49-225340,hypothetical protein,protein coding gene,TGME49_025340,N/A
TGME49-225410,histone H3 centromeric CENH3,protein coding gene,TGME49_025410,N/A
TGME49-225470,peptide methionine sulfoxide reductase,protein coding gene,TGME49_025470,N/A
TGME49-225490,calcium-dependent protein kinase CDPK2,protein coding gene,TGME49_025490,CDPK2
TGME49-225540,hypothetical protein,protein coding gene,TGME49_025540,N/A
TGME49-225560,hypothetical protein,protein coding gene,TGME49_025560,N/A
TGME49-225690,hypothetical protein,protein coding gene,TGME49_025690,N/A
TGME49-225745,hypothetical protein,protein coding gene,TGME49_025740,N/A
TGME49-225790,PDI family protein,protein coding gene,TGME49_025790,N/A
TGME49-225820,hypothetical protein,protein coding gene,TGME49_025820,N/A
TGME49-225860,hypothetical protein,protein coding gene,TGME49_025860,N/A
TGME49-225870,hypothetical protein,protein coding gene,TGME49_025870,N/A
TGME49-226040,EF hand domain-containing protein,protein coding gene,TGME49_026040,N/A
TGME49-226220,alveolin domain containing intermediate filament IMC9,protein coding gene,TGME49_026220,ALV6
TGME49-226310,zinc finger (CCCH type) motif-containing protein,protein coding gene,TGME49_026310,N/A
TGME49-226540,protein kinase,protein coding gene,TGME49_026540,N/A
TGME49-226600,syntaxin 5, putative,protein coding gene,TGME49_026600,N/A
TGME49-226680,hypothetical protein,protein coding gene,TGME49_026680,N/A
TGME49-226700,nuclease, putative,protein coding gene,TGME49_026700,N/A
TGME49-226740,zinc finger, C3HC4 type (RING finger) domain-containing protein,protein coding gene,TGME49_026740,N/A
TGME49-226990,hypothetical protein,protein coding gene,TGME49_026990,N/A
TGME49-227000,hypothetical protein,protein coding gene,TGME49_027000,N/A
TGME49-227580,transmembrane amino acid transporter protein,protein coding gene,TGME49_027580,N/A
TGME49-227810,rhoptry kinase family protein ROP11 (incomplete catalytic triad),protein coding gene,TGME49_027810,ROP11
TGME49-229000,kelch repeat-containing protein,protein coding gene,TGME49_029000,N/A
TGME49-229010,rhoptry neck protein RON4,protein coding gene,TGME49_029010,RON4
TGME49-229280,hypothetical protein,protein coding gene,TGME49_029280,N/A
TGME49-229500,hypothetical protein,protein coding gene,TGME49_029500,N/A
TGME49-230180,hypothetical protein,protein coding gene,TGME49_030180,N/A
TGME49-230210,alveolin domain containing intermediate filament IMC10,protein coding gene,TGME49_030210,ALV12
TGME49-230470,rhoptry kinase family protein ROP46, putative,protein coding gene,TGME49_030470,N/A
TGME49-230480,hypothetical protein,protein coding gene,TGME49_030480,N/A
TGME49-230570,transporter, major facilitator family protein,protein coding gene,TGME49_030570,N/A
TGME49-230690,LNS2 (Lipin/Ned1/Smp2) protein,protein coding gene,TGME49_030690,N/A
TGME49-230850,hypothetical protein,protein coding gene,TGME49_030850,N/A
TGME49-230970,hypothetical protein,protein coding gene,TGME49_030970,N/A
TGME49-231070,protein kinase,protein coding gene,TGME49_031070,N/A
TGME49-231160,hypothetical protein,protein coding gene,TGME49_031160,N/A
TGME49-231630,alveolin domain containing intermediate filament IMC4,protein coding gene,TGME49_031630,ALV4
TGME49-231640,alveolin domain containing intermediate filament IMC1,protein coding gene,TGME49_031640,ALV1
TGME49-231780,hypothetical protein,protein coding gene,TGME49_031780,N/A
TGME49-231790,hypothetical protein,protein coding gene,TGME49_031790,N/A
TGME49-231980,hypothetical protein,protein coding gene,TGME49_031980,N/A
TGME49-232020,hypothetical protein,protein coding gene,TGME49_032020,N/A
TGME49-232030,hypothetical protein,protein coding gene,TGME49_032030,N/A
TGME49-232130,hypothetical protein,protein coding gene,TGME49_032130,N/A
TGME49-232160,zinc finger, C3HC4 type (RING finger) domain-containing protein,protein coding gene,TGME49_032160,N/A
TGME49-232260,hypothetical protein,protein coding gene,TGME49_032260,N/A
TGME49-232400,PAN domain-containing protein,protein coding gene,TGME49_032400,N/A
TGME49-232410,PDI family protein,protein coding gene,TGME49_032410,N/A
TGME49-232560,hypothetical protein,protein coding gene,TGME49_032560,N/A
TGME49-232650,hypothetical protein,protein coding gene,TGME49_032650,N/A
TGME49-232950,hypothetical protein,protein coding gene,TGME49_032950,N/A
TGME49-233030,gliding-associated protein GAP70,protein coding gene,TGME49_033030,GAP70
TGME49-233760,hypothetical protein,protein coding gene,TGME49_033760,N/A
TGME49-234250,hypothetical protein,protein coding gene,TGME49_034250,N/A
TGME49-234370,SAG-related sequence SRS42,protein coding gene,TGME49_034370,SRS42
TGME49-234400,hypothetical protein,protein coding gene,TGME49_034400,N/A
TGME49-234540,hypothetical protein,protein coding gene,TGME49_034540,N/A
TGME49-234930,SAG-related sequence SRS43,protein coding gene,TGME49_034930,SRS43
TGME49-235130,transmembrane protein,protein coding gene,TGME49_035130,N/A
TGME49-235340,hypothetical protein,protein coding gene,TGME49_035340,N/A
TGME49-235370,hypothetical protein,protein coding gene,TGME49_035370,N/A
TGME49-235380,hypothetical protein,protein coding gene,TGME49_035380,N/A
TGME49-235470,myosin A,protein coding gene,TGME49_035470,N/A
TGME49-235690,hypothetical protein,protein coding gene,TGME49_035690,N/A
TGME49-235920,dynein, axonemal, heavy chain 2 family protein,protein coding gene,TGME49_035920,N/A
TGME49-236000,ferredoxin, putative,protein coding gene,TGME49_036000,N/A
TGME49-236060,hypothetical protein,protein coding gene,TGME49_036060,N/A
TGME49-236620,protein kinase (incomplete catalytic triad),protein coding gene,TGME49_036620,N/A
TGME49-236630,hypothetical protein,protein coding gene,TGME49_036630,N/A
TGME49-236850,hypothetical protein,protein coding gene,TGME49_036850,N/A
TGME49-236860,haloacid dehalogenase family hydrolase domain-containing protein,protein coding gene,TGME49_036860,N/A
TGME49-236960,transporter, major facilitator family protein,protein coding gene,TGME49_036960,N/A
TGME49-237070,hypothetical protein,protein coding gene,TGME49_037070,N/A
TGME49-237080,hypothetical protein,protein coding gene,TGME49_037080,N/A
TGME49-237170,hypothetical protein,protein coding gene,TGME49_037170,N/A
TGME49-237180,hypothetical protein,protein coding gene,TGME49_037180,N/A
TGME49-237210,Tyrosine kinase-like (TKL) protein,protein coding gene,TGME49_037210,N/A
TGME49-237820,IMC sub-compartment protein ISP2,protein coding gene,TGME49_037820,ISP2
TGME49-238150,hypothetical protein,protein coding gene,TGME49_038150,N/A
TGME49-238160,hypothetical protein,protein coding gene,TGME49_038160,N/A
TGME49-238210,EGF family domain-containing protein,protein coding gene,TGME49_038210,N/A
TGME49-238380,hypothetical protein,protein coding gene,TGME49_038380,N/A
TGME49-238995,ion channel protein,protein coding gene,TGME49_038990,N/A
TGME49-239020,ABC transporter transmembrane region domain-containing protein,protein coding gene,TGME49_039020,N/A
TGME49-239300,hypothetical protein,protein coding gene,TGME49_039300,N/A
TGME49-239400,hypothetical protein,protein coding gene,TGME49_039400,N/A
TGME49-239560,myosin E,protein coding gene,TGME49_039560,N/A
TGME49-239700,regulator of chromosome condensation (RCC1) repeat-containing protein,protein coding gene,TGME49_039700,N/A
TGME49-239752,hypothetical protein,protein coding gene,TGME49_039750,N/A
TGME49-239770,alveolin domain containing intermediate filament IMC11,protein coding gene,TGME49_039770,ALV7
TGME49-239780,hypothetical protein,protein coding gene,TGME49_039780,N/A
TGME49-239800,hypothetical protein,protein coding gene,TGME49_039800,N/A
TGME49-239830,TBC domain-containing protein,protein coding gene,TGME49_039830,N/A
TGME49-240380,hypothetical protein,protein coding gene,TGME49_040380,N/A
TGME49-240560,MAPEG family protein,protein coding gene,TGME49_040560,N/A
TGME49-240570,hypothetical protein,protein coding gene,TGME49_040570,N/A
TGME49-240630,ULK kinase,protein coding gene,TGME49_040630,N/A
TGME49-240960,AIG2 family protein,protein coding gene,TGME49_040960,N/A
TGME49-241010,K+ channel tetramerisation domain-containing protein,protein coding gene,TGME49_041010,N/A
TGME49-241180,hypothetical protein,protein coding gene,TGME49_041180,N/A
TGME49-242240,rhoptry kinase family protein ROP19A,protein coding gene,TGME49_042240,ROP19A
TGME49-242570,hypothetical protein,protein coding gene,TGME49_042570,N/A
TGME49-242820,hypothetical protein,protein coding gene,TGME49_042820,N/A
TGME49-243190,Toxoplasma gondii family A protein,protein coding gene,TGME49_043190,N/A
TGME49-243200,hypothetical protein,protein coding gene,TGME49_043200,N/A
TGME49-243250,myosin H,protein coding gene,TGME49_043250,N/A
TGME49-243690,hypothetical protein,protein coding gene,TGME49_043690,N/A
TGME49-243730,rhoptry protein ROP9,protein coding gene,TGME49_043730,ROP9
TGME49-243940,hypothetical protein,protein coding gene,TGME49_043940,N/A
TGME49-244010,hypothetical protein,protein coding gene,TGME49_044010,N/A
TGME49-244080,hypothetical protein,protein coding gene,TGME49_044080,N/A
TGME49-244250,hypothetical protein,protein coding gene,TGME49_044250,N/A
TGME49-244260,hypothetical protein,protein coding gene,TGME49_044260,N/A
TGME49-244470,hypothetical protein,protein coding gene,TGME49_044470,N/A
TGME49-244500,Tubulin-tyrosine ligase family protein,protein coding gene,TGME49_044500,N/A
TGME49-244720,hypothetical protein,protein coding gene,TGME49_044720,N/A
TGME49-245490,microneme protein MIC8,protein coding gene,TGME49_045490,MIC8
TGME49-245640,hypothetical protein,protein coding gene,TGME49_045640,N/A
TGME49-246080,NAD dependent epimerase/dehydratase family protein,protein coding gene,TGME49_046080,N/A
TGME49-246190,hypothetical protein,protein coding gene,TGME49_046190,N/A
TGME49-246490,hypothetical protein,protein coding gene,TGME49_046490,N/A
TGME49-246590,hypothetical protein,protein coding gene,TGME49_046590,N/A
TGME49-246710,hypothetical protein,protein coding gene,TGME49_046710,N/A
TGME49-246720,hypothetical protein,protein coding gene,TGME49_046720,N/A
TGME49-246800,acylaminoacyl-peptidase, putative,protein coding gene,TGME49_046800,N/A
TGME49-246930,calmodulin CAM1,protein coding gene,TGME49_046930,CAM1
TGME49-246990,hypothetical protein,protein coding gene,TGME49_046990,N/A
TGME49-247195,microneme protein MIC15,protein coding gene,TGME49_047190,MIC15
TGME49-247220,nudix -type motif 9 isoform a family protein,protein coding gene,TGME49_047220,N/A
TGME49-247370,hypothetical protein,protein coding gene,TGME49_047370,N/A
TGME49-247500,acyl-CoA dehydrogenase, middle domain-containing protein,protein coding gene,TGME49_047500,N/A
TGME49-247530,hypothetical protein,protein coding gene,TGME49_047530,N/A
TGME49-247580,glutaredoxin domain-containing protein,protein coding gene,TGME49_047580,N/A
TGME49-247690,phospholipid-translocating P-type ATPase, flippase subfamily protein,protein coding gene,TGME49_047690,N/A
TGME49-248670,V-type H(+)-translocating pyrophosphatase VP1,protein coding gene,TGME49_048670,N/A
TGME49-248740,hypothetical protein,protein coding gene,TGME49_048740,N/A
TGME49-248820,hypothetical protein,protein coding gene,TGME49_048820,N/A
TGME49-248950,carrier superfamily protein,protein coding gene,TGME49_048950,N/A
TGME49-249240,calmodulin, putative,protein coding gene,TGME49_049240,N/A
TGME49-249370,translation initiation factor SUI1, putative,protein coding gene,TGME49_049370,N/A
TGME49-249440,hypothetical protein,protein coding gene,TGME49_049440,N/A
TGME49-249570,hypothetical protein,protein coding gene,TGME49_049570,N/A
TGME49-249660,hypothetical protein,protein coding gene,TGME49_049660,N/A
TGME49-249670,cathepsin B,protein coding gene,TGME49_049670,N/A
TGME49-249780,hypothetical protein,protein coding gene,TGME49_049780,N/A
TGME49-249850,GAP40 protein,protein coding gene,TGME49_049850,GAP40
TGME49-250340,centrin 2,protein coding gene,TGME49_050340,N/A
TGME49-250690,zinc finger (CCCH type) motif-containing protein,protein coding gene,TGME49_050690,N/A
TGME49-250710,microneme protein MIC10,protein coding gene,TGME49_050710,MIC10
TGME49-250820,hypothetical protein,protein coding gene,TGME49_050820,N/A
TGME49-251740,AP2 domain transcription factor AP2XII-9,protein coding gene,TGME49_051740,AP2XII9
TGME49-251850,serine/threonine protein phosphatase,protein coding gene,TGME49_051850,N/A
TGME49-252190,KRUF family protein,protein coding gene,TGME49_052190,N/A
TGME49-252200,cell cycle regulator with zn-finger domain-containing protein,protein coding gene,TGME49_052200,N/A
TGME49-252260,hypothetical protein,protein coding gene,TGME49_052260,N/A
TGME49-252350,hypothetical protein,protein coding gene,TGME49_052350,N/A
TGME49-252360,rhoptry kinase family protein ROP24 (incomplete catalytic triad),protein coding gene,TGME49_052360,ROP24
TGME49-252510,hypothetical protein,protein coding gene,TGME49_052510,N/A
TGME49-252880,hypothetical protein,protein coding gene,TGME49_052880,N/A
TGME49-253100,hypothetical protein,protein coding gene,TGME49_053100,N/A
TGME49-253140,hypothetical protein,protein coding gene,TGME49_053140,N/A
TGME49-253300,hypothetical protein,protein coding gene,TGME49_053300,N/A
TGME49-253370,hypothetical protein,protein coding gene,TGME49_053370,N/A
TGME49-253380,AP2 domain transcription factor AP2III-2,protein coding gene,TGME49_053380,AP2III2
TGME49-253400,hypothetical protein,protein coding gene,TGME49_053400,N/A
TGME49-253410,hypothetical protein,protein coding gene,TGME49_053410,N/A
TGME49-253710,hypothetical protein,protein coding gene,TGME49_053710,N/A
TGME49-253880,GNS1/SUR4 family protein,protein coding gene,TGME49_053880,N/A
TGME49-254080,metal cation transporter, ZIP family protein,protein coding gene,TGME49_054080,N/A
TGME49-254150,hypothetical protein,protein coding gene,TGME49_054150,N/A
TGME49-254290,hypothetical protein,protein coding gene,TGME49_054290,N/A
TGME49-254640,hypothetical protein,protein coding gene,TGME49_054640,N/A
TGME49-254870,hypothetical protein,protein coding gene,TGME49_054870,N/A
TGME49-254880,Alpha-galactosidase,protein coding gene,TGME49_054880,N/A
TGME49-254890,hypothetical protein,protein coding gene,TGME49_054890,N/A
TGME49-255190,myosin C,protein coding gene,TGME49_055190,N/A
TGME49-255450,hypothetical protein,protein coding gene,TGME49_055450,N/A
TGME49-255460,EGF family domain-containing protein,protein coding gene,TGME49_055460,N/A
TGME49-255700,hypothetical protein,protein coding gene,TGME49_055700,N/A
TGME49-256030,hypothetical protein,protein coding gene,TGME49_056030,N/A
TGME49-257430,hypothetical protein,protein coding gene,TGME49_057430,N/A
TGME49-257470,myosin J,protein coding gene,TGME49_057470,N/A
TGME49-257550,hypothetical protein,protein coding gene,TGME49_057550,N/A
TGME49-257680,myosin light chain MLC1,protein coding gene,TGME49_057680,N/A
TGME49-258230,rhoptry kinase family protein ROP20,protein coding gene,TGME49_058230,ROP20
TGME49-258360,hypothetical protein,protein coding gene,TGME49_058360,N/A
TGME49-258400,PA14 domain-containing protein,protein coding gene,TGME49_058400,N/A
TGME49-258410,photosensitized INA-labeled protein PHIL1,protein coding gene,TGME49_058410,PHIL1
TGME49-258470,hypothetical protein,protein coding gene,TGME49_058470,N/A
TGME49-258550,SAG-related sequence SRS28,protein coding gene,TGME49_058550,SporoSAG
TGME49-258580,rhoptry protein ROP17,protein coding gene,TGME49_058580,ROP17
TGME49-258660,rhoptry protein ROP6,protein coding gene,TGME49_058660,ROP6
TGME49-258700,transporter, major facilitator family protein,protein coding gene,TGME49_058700,N/A
