ensembl_gene_id;source_id;description;gene_biotype;external_gene_name;co-expression_cluster
TGME49.235635;TGME49_235635-t26_1;hypothetical protein;protein coding gene;N/A;5
TGME49.256000;TGME49_256000-t26_1;endoplasmic reticulum retention receptor;protein coding gene;N/A;1
TGME49.260610;TGME49_260610-t26_1;methyltransferase;protein coding gene;N/A;5
TGME49.262750;TGME49_262750-t26_1;histone lysine methyltransferase, SET, putative;protein coding gene;N/A;13
TGME49.263800;TGME49_263800-t26_1;hypothetical protein;protein coding gene;N/A;2
TGME49.266070;TGME49_266070-t26_1;ribosomal protein RPL31;protein coding gene;RPL31;1
TGME49.266640;TGME49_266640-t26_1;Acetyl-coenzyme A synthetase 2, putative;protein coding gene;N/A;1
TGME49.269775;TGME49_269775-t26_1;hypothetical protein;protein coding gene;N/A;14
TGME49.271335;TGME49_271335-t26_1;hypothetical protein;protein coding gene;N/A;13
TGME49.276860;TGME49_276860-t26_1;hypothetical protein;protein coding gene;N/A;6
TGME49.241870;TGME49_241870-t26_1;tRNA ligase class I (E and Q), catalytic domain-containing protein;protein coding gene;N/A;3
TGME49.253790;TGME49_253790-t26_1;zinc finger (CCCH type) motif-containing protein;protein coding gene;N/A;14
TGME49.238210;TGME49_238210-t26_1;EGF family domain-containing protein;protein coding gene;N/A;11
TGME49.242340;TGME49_242340-t26_1;ribosomal protein RPS29;protein coding gene;RPS29;1
TGME49.242650;TGME49_242650-t26_1;hypothetical protein;protein coding gene;N/A;4
TGME49.248480;TGME49_248480-t26_1;ribosomal protein RPS9;protein coding gene;RPS9;1
TGME49.265120;TGME49_265120-t26_1;rhoptry neck protein, putative;protein coding gene;RON2L2;12
TGME49.266110;TGME49_266110-t26_1;DEAD/DEAH box helicase domain-containing protein;protein coding gene;N/A;3
TGME49.267110;TGME49_267110-t26_1;tRNA-Gln;ncRNA gene;N/A;2
TGME49.270250;TGME49_270250-t26_1;dense granule protein GRA1;protein coding gene;GRA1;1
TGME49.270820;TGME49_270820-t26_1;hypothetical protein;protein coding gene;N/A;14
TGME49.271037;TGME49_271037-t26_1;hypothetical protein;protein coding gene;N/A;9
TGME49.277080;TGME49_277080-t26_1;microneme protein MIC5;protein coding gene;MIC5;9
TGME49.278090;TGME49_278090-t26_1;Toxoplasma gondii family A protein;protein coding gene;N/A;13
TGME49.286270;TGME49_286270-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.288380;TGME49_288380-t26_1;heat shock protein HSP90;protein coding gene;HSP90;1
TGME49.288970;TGME49_288970-t26_1;hypothetical protein;protein coding gene;N/A;12
TGME49.289060;TGME49_289060-t26_1;hypothetical protein;protein coding gene;N/A;2
TGME49.290720;TGME49_290720-t26_1;vacuolar proton translocating ATPase subunit, putative;protein coding gene;N/A;1
TGME49.291960;TGME49_291960-t26_1;rhoptry kinase family protein ROP40 (incomplete catalytic triad);protein coding gene;ROP40;1
TGME49.257720;TGME49_257720-t26_1;proton ATPase, putative;protein coding gene;N/A;1
TGME49.258800;TGME49_258800-t26_1;rhoptry kinase family protein ROP31;protein coding gene;ROP31;4
TGME49.250340;TGME49_250340-t26_1;centrin 2;protein coding gene;N/A;1
TGME49.250710;TGME49_250710-t26_1;microneme protein MIC10;protein coding gene;MIC10;1
TGME49.251660;TGME49_251660-t26_1;hypothetical protein;protein coding gene;N/A;6
TGME49.254590;TGME49_254590-t26_1;hypothetical protein;protein coding gene;N/A;4
TGME49.257130;TGME49_257130-t26_1;zinc finger (CCCH type) motif-containing protein;protein coding gene;N/A;14
TGME49.258820;TGME49_258820-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.259270;TGME49_259270-t26_1;SAG-related sequence SRS26E;protein coding gene;SRS26E;12
TGME49.260000;TGME49_260000-t26_1;hypothetical protein;protein coding gene;N/A;9
TGME49.260330;TGME49_260330-t26_1;hypothetical protein;protein coding gene;N/A;13
TGME49.286110;TGME49_286110-t26_1;hypothetical protein;protein coding gene;N/A;12
TGME49.286420;TGME49_286420-t26_1;elongation factor 1-alpha (EF-1-ALPHA), putative;protein coding gene;N/A;1
TGME49.293430;TGME49_293430-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.295015;TGME49_295015-t26_1;patched family protein;protein coding gene;N/A;12
TGME49.297070;TGME49_297070-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.297495;TGME49_297495-t26_1;hypothetical protein;protein coding gene;N/A;14
TGME49.301218;TGME49_301218-t26_1;hypothetical protein;protein coding gene;N/A;5
TGME49.311230;TGME49_311230-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.309560;TGME49_309560-t26_1;nmda receptor glutamate-binding chain;protein coding gene;N/A;1
TGME49.310820;TGME49_310820-t26_1;SLU7 splicing factor, putative;protein coding gene;N/A;3
TGME49.314260;TGME49_314260-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.315200;TGME49_315200-t26_1;tRNA-Gln;ncRNA gene;N/A;14
TGME49.315210;TGME49_315210-t26_1;rhoptry protein, putative;protein coding gene;N/A;1
TGME49.318230;TGME49_318230-t26_1;phosphoglycerate kinase PGKI;protein coding gene;PGKI;1
TGME49.457990;TGME49_457990-t26_1;28S ribosomal RNA;ncRNA gene;N/A;1
TGME49.459180;TGME49_459180-t26_1;28S ribosomal RNA;ncRNA gene;N/A;1
TGME49.459360;TGME49_459360-t26_1;28S ribosomal RNA;ncRNA gene;N/A;1
TGME49.460030;TGME49_460030-t26_1;28S ribosomal RNA;ncRNA gene;N/A;1
TGME49.262730;TGME49_262730-t26_1;rhoptry protein ROP16;protein coding gene;ROP16;1
TGME49.264805;TGME49_264805-t26_1;hypothetical protein;protein coding gene;N/A;12
TGME49.266890;TGME49_266890-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.269980;TGME49_269980-t26_1;preprotein translocase Sec61, putative;protein coding gene;N/A;1
TGME49.273110;TGME49_273110-t26_1;SAG-related sequence SRS30D;protein coding gene;SRS30D;13
TGME49.273705;TGME49_273705-t26_1;hypothetical protein;protein coding gene;N/A;12
TGME49.269300;TGME49_269300-t26_1;lipase;protein coding gene;N/A;12
TGME49.270690;TGME49_270690-t26_1;arginyl-tRNA synthetase;protein coding gene;N/A;3
TGME49.270950;TGME49_270950-t26_1;hypothetical protein;protein coding gene;N/A;8
TGME49.271870;TGME49_271870-t26_1;zinc carboxypeptidase superfamily protein;protein coding gene;N/A;3
TGME49.273760;TGME49_273760-t26_1;heat shock protein HSP70;protein coding gene;HSP70;1
TGME49.458630;TGME49_458630-t26_1;28S ribosomal RNA;ncRNA gene;N/A;1
TGME49.461480;TGME49_461480-t26_1;28S ribosomal RNA;ncRNA gene;N/A;1
TGME49.275860;TGME49_275860-t26_1;hypothetical protein;protein coding gene;N/A;9
TGME49.290200;TGME49_290200-t26_1;NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain-containing protein;protein coding gene;N/A;1
TGME49.292150;TGME49_292150-t26_1;hypothetical protein;protein coding gene;N/A;10
TGME49.285870;TGME49_285870-t26_1;SAG-related sequence SRS20A;protein coding gene;SRS20A;1
TGME49.288650;TGME49_288650-t26_1;dense granule protein GRA12;protein coding gene;GRA12;9
TGME49.294600;TGME49_294600-t26_1;Toxoplasma gondii family D protein;protein coding gene;N/A;11
TGME49.294651;TGME49_294651-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.297390;TGME49_297390-t26_1;hypothetical protein;protein coding gene;N/A;4
TGME49.297480;TGME49_297480-t26_1;hypothetical protein;protein coding gene;N/A;8
TGME49.300040;TGME49_300040-t26_1;ubiquitin-conjugating enzyme subfamily protein;protein coding gene;N/A;1
TGME49.309810;TGME49_309810-t26_1;ribosomal protein RPP2;protein coding gene;RPP2;1
TGME49.310260;TGME49_310260-t26_1;hypothetical protein;protein coding gene;N/A;5
TGME49.304450;TGME49_304450-t26_1;cation-transporting ATPase;protein coding gene;N/A;11
TGME49.305460;TGME49_305460-t26_1;methionine aminopeptidase 2, putative;protein coding gene;N/A;1
TGME49.305490;TGME49_305490-t26_1;programmed cell death protein 2, c-terminal domain-containing protein;protein coding gene;N/A;9
TGME49.310798;TGME49_310798-t26_1;hypothetical protein;protein coding gene;N/A;3
TGME49.311270;TGME49_311270-t26_1;hypothetical protein;protein coding gene;N/A;10
TGME49.312190;TGME49_312190-t26_1;hypothetical protein;protein coding gene;N/A;14
TGME49.312875;TGME49_312875-t26_1;hypothetical protein;protein coding gene;N/A;1
TGME49.314418;TGME49_314418-t26_1;clathrin adaptor complex small chain family protein;protein coding gene;N/A;9
TGME49.316670;TGME49_316670-t26_1;Toxoplasma gondii family D protein;protein coding gene;N/A;11
TGME49.319720;TGME49_319720-t26_1;hypothetical protein;protein coding gene;N/A;12
TGME49.320050;TGME49_320050-t26_1;ribosomal protein RPL5;protein coding gene;RPL5;1
TGME49.461350;TGME49_461350-t26_1;28S ribosomal RNA;ncRNA gene;N/A;1
TGME49.316400;TGME49_316400-t26_1;alpha tubulin TUBA1;protein coding gene;TUBA1;1
TGME49.458710;TGME49_458710-t26_1;28S ribosomal RNA;ncRNA gene;N/A;1
TGME49.460890;TGME49_460890-t26_1;28S ribosomal RNA;ncRNA gene;N/A;1
TGME49.462910;TGME49_462910-t26_1;large subunit ribosomal RNA;ncRNA gene;N/A;1
